Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8877452795261014,0.8756756756756757,0.8754078152957661,0.8756756756756757,0.8751386637555549
KNN,0.9255646057015922,0.9081081081081082,0.922074074074074,0.9081081081081082,0.9102471639039705
Random Forest,0.9229359496482786,0.918918918918919,0.9239202708070355,0.918918918918919,0.9184109368218294
SVM,0.9634950018511663,0.9567567567567568,0.9578084578084578,0.9567567567567568,0.9570703687091919
