Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8756756756756757,0.8745851188642951,0.8756756756756757,0.8745028900842854
KNN,0.9081081081081082,0.9168257008257009,0.9081081081081082,0.9092298571114381
Random Forest,0.9081081081081082,0.9091548691548691,0.9081081081081082,0.9080982440101167
SVM,0.9675675675675676,0.9681161681161681,0.9675675675675676,0.9676236332613221
